Claim Number,AGE, INCOME ,MARITAL_STATUS,EDUCATION,MVR_POINTS,CAR_AGE,LOCATION, OLD_CLAIM ,PREMIUM
1,60," $67,349.00 ",No,PhD,3,18,Highly Urban/ Urban," $4,461.00 "," $5,576.25 "
2,43," $91,449.00 ",No,High School,0,1,Highly Urban/ Urban, $-   , $-   
3,35," $16,039.00 ",Yes,High School,3,10,Highly Urban/ Urban," $38,690.00 "," $48,362.50 "
4,51," $64,618.00 ",Yes,<High School,0,6,Highly Urban/ Urban, $-   , $-   
5,50," $114,986.00 ",Yes,PhD,3,17,Highly Urban/ Urban," $19,217.00 "," $24,021.25 "
6,34," $125,301.00 ",No,Bachelors,0,7,Highly Urban/ Urban, $-   , $-   
7,54," $18,755.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   , $-   
8,37," $107,961.00 ",Yes,Bachelors,10,7,Highly Urban/ Urban," $2,374.00 "," $2,967.50 "
9,34," $62,978.00 ",No,Bachelors,0,1,Highly Urban/ Urban, $-   , $-   
10,50," $106,952.00 ",No,Bachelors,1,17,Highly Rural/ Rural, $-   , $-   
11,53," $77,100.00 ",No,Masters,0,11,Highly Urban/ Urban, $-   , $-   
12,43," $52,642.00 ",Yes,Masters,0,1,Highly Rural/ Rural, $-   , $-   
13,55," $59,162.00 ",Yes,Bachelors,3,9,Highly Urban/ Urban," $5,028.00 "," $6,285.00 "
14,53," $130,795.00 ",No,PhD,3,10,Highly Urban/ Urban, $-   , $-   
15,45, $-   ,Yes,<High School,3,5,Highly Urban/ Urban, $-   , $-   
16,39," $51,884.00 ",No,Bachelors,0,13,Highly Rural/ Rural, $-   , $-   
17,42," $59,945.00 ",Yes,Masters,0,16,Highly Urban/ Urban, $-   , $-   
18,34," $34,019.00 ",Yes,Masters,0,20,Highly Urban/ Urban, $-   , $-   
19,31," $18,903.00 ",Yes,<High School,0,7,Highly Urban/ Urban, $-   , $-   
20,28," $44,077.00 ",Yes,High School,0,1,Highly Urban/ Urban," $8,935.00 "," $11,168.75 "
21,43," $37,214.00 ",Yes,<High School,3,1,Highly Urban/ Urban, $-   , $-   
22,48," $96,274.00 ",Yes,Masters,5,14,Highly Urban/ Urban," $8,250.00 "," $10,312.50 "
23,47," $46,281.00 ",No,<High School,1,5,Highly Urban/ Urban, $-   , $-   
24,44, $-   ,Yes,High School,0,11,Highly Urban/ Urban," $3,338.00 "," $4,172.50 "
25,33," $79,606.00 ",Yes,Bachelors,2,15,Highly Rural/ Rural, $-   , $-   
26,32," $31,275.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   , $-   
27,44," $45,488.00 ",Yes,Bachelors,0,12,Highly Urban/ Urban, $-   , $-   
28,35," $72,193.00 ",No,Bachelors,3,12,Highly Urban/ Urban, $-   , $-   
29,40," $14,663.00 ",Yes,Masters,4,12,Highly Rural/ Rural," $38,127.00 "," $47,658.75 "
30,49," $49,244.00 ",Yes,Bachelors,1,1,Highly Urban/ Urban, $-   , $-   
31,52," $51,278.00 ",Yes,Bachelors,1,10,Highly Urban/ Urban, $-   , $-   
32,41," $92,842.00 ",No,Masters,5,15,Highly Urban/ Urban," $1,431.00 "," $1,788.75 "
33,39," $35,081.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   , $-   
34,56, $-   ,Yes,PhD,0,12,Highly Rural/ Rural, $-   , $-   
35,49," $115,044.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   , $-   
36,38," $37,754.00 ",Yes,High School,2,9,Highly Rural/ Rural, $-   , $-   
37,43," $145,353.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   , $-   
38,63," $121,398.00 ",Yes,PhD,0,11,Highly Urban/ Urban, $-   , $-   
39,52, $-   ,No,High School,1,6,Highly Rural/ Rural, $-   , $-   
40,35," $14,508.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   , $-   
41,43," $75,338.00 ",Yes,Bachelors,0,8,Highly Urban/ Urban, $-   , $-   
42,41," $32,774.00 ",No,High School,0,1,Highly Rural/ Rural, $-   , $-   
43,40," $57,474.00 ",Yes,Bachelors,1,5,Highly Urban/ Urban, $-   , $-   
44,31," $26,520.00 ",Yes,Bachelors,2,5,Highly Urban/ Urban, $-   , $-   
45,47," $18,444.00 ",Yes,High School,5,5,Highly Urban/ Urban," $2,981.00 "," $3,726.25 "
46,53," $107,259.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   , $-   
47,39," $34,046.00 ",Yes,High School,0,5,Highly Rural/ Rural, $-   , $-   
48,33," $32,364.00 ",Yes,<High School,3,1,Highly Urban/ Urban, $-   , $-   
49,59," $106,775.00 ",No,Masters,0,14,Highly Urban/ Urban, $-   , $-   
50,40," $16,989.00 ",No,<High School,13,6,Highly Urban/ Urban," $26,104.00 "," $32,630.00 "
51,44," $16,352.00 ",Yes,High School,1,1,Highly Urban/ Urban," $7,838.00 "," $9,797.50 "
52,56," $44,760.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban, $-   , $-   
53,45," $63,952.00 ",Yes,Masters,0,13,Highly Urban/ Urban," $27,877.00 "," $34,846.25 "
54,48, $-   ,Yes,Bachelors,1,10,Highly Urban/ Urban," $1,554.00 "," $1,942.50 "
55,44," $24,060.00 ",No,Bachelors,0,10,Highly Urban/ Urban, $-   , $-   
56,33," $20,822.00 ",Yes,High School,0,1,Highly Urban/ Urban," $7,896.00 "," $9,870.00 "
57,32," $54,968.00 ",Yes,High School,0,8,Highly Urban/ Urban, $-   , $-   
58,34," $14,194.00 ",No,<High School,2,10,Highly Urban/ Urban," $24,767.00 "," $30,958.75 "
59,38," $2,149.00 ",Yes,<High School,2,1,Highly Urban/ Urban, $-   , $-   
60,43," $137,103.00 ",No,Masters,0,15,Highly Urban/ Urban," $8,890.00 "," $11,112.50 "
61,49," $129,261.00 ",No,PhD,2,18,Highly Urban/ Urban," $34,351.00 "," $42,938.75 "
62,46," $79,538.00 ",No,Bachelors,2,11,Highly Urban/ Urban, $-   , $-   
63,45," $185,836.00 ",Yes,PhD,6,20,Highly Urban/ Urban," $4,307.00 "," $5,383.75 "
64,46," $151,012.00 ",No,Masters,1,12,Highly Urban/ Urban, $-   , $-   
65,45," $61,931.00 ",Yes,Masters,0,14,Highly Urban/ Urban," $25,106.00 "," $31,382.50 "
66,63," $74,426.00 ",No,PhD,0,18,Highly Urban/ Urban, $-   , $-   
67,44," $74,722.00 ",Yes,Bachelors,0,1,Highly Urban/ Urban, $-   , $-   
68,45," $102,393.00 ",No,Bachelors,2,11,Highly Urban/ Urban, $-   , $-   
69,48, $-   ,Yes,High School,3,5,Highly Urban/ Urban," $8,363.00 "," $10,453.75 "
70,37," $62,080.00 ",Yes,Bachelors,1,3,Highly Urban/ Urban," $2,718.00 "," $3,397.50 "
71,35," $29,371.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   , $-   
72,48," $31,773.00 ",Yes,High School,4,1,Highly Urban/ Urban," $1,212.00 "," $1,515.00 "
