Claim Number,AGE, INCOME ,MARITAL_STATUS,EDUCATION,MVR_POINTS,CAR_AGE,LOCATION, OLD_CLAIM ,PREMIUM
1,60," $67,349.00 ",No,PhD,3,18,Highly Urban/ Urban," $4,461.00 ",#REF!
2,43," $91,449.00 ",No,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
3,35," $16,039.00 ",Yes,High School,3,10,Highly Urban/ Urban," $38,690.00 ",#REF!
4,51," $64,618.00 ",Yes,<High School,0,6,Highly Urban/ Urban, $-   ,#REF!
5,50," $114,986.00 ",Yes,PhD,3,17,Highly Urban/ Urban," $19,217.00 ",#REF!
6,34," $125,301.00 ",No,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
7,54," $18,755.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
8,37," $107,961.00 ",Yes,Bachelors,10,7,Highly Urban/ Urban," $2,374.00 ",#REF!
9,34," $62,978.00 ",No,Bachelors,0,1,Highly Urban/ Urban, $-   ,#REF!
10,50," $106,952.00 ",No,Bachelors,1,17,Highly Rural/ Rural, $-   ,#REF!
11,53," $77,100.00 ",No,Masters,0,11,Highly Urban/ Urban, $-   ,#REF!
12,43," $52,642.00 ",Yes,Masters,0,1,Highly Rural/ Rural, $-   ,#REF!
13,55," $59,162.00 ",Yes,Bachelors,3,9,Highly Urban/ Urban," $5,028.00 ",#REF!
14,53," $130,795.00 ",No,PhD,3,10,Highly Urban/ Urban, $-   ,#REF!
15,45, $-   ,Yes,<High School,3,5,Highly Urban/ Urban, $-   ,#REF!
16,39," $51,884.00 ",No,Bachelors,0,13,Highly Rural/ Rural, $-   ,#REF!
17,42," $59,945.00 ",Yes,Masters,0,16,Highly Urban/ Urban, $-   ,#REF!
18,34," $34,019.00 ",Yes,Masters,0,20,Highly Urban/ Urban, $-   ,#REF!
19,31," $18,903.00 ",Yes,<High School,0,7,Highly Urban/ Urban, $-   ,#REF!
20,28," $44,077.00 ",Yes,High School,0,1,Highly Urban/ Urban," $8,935.00 ",#REF!
21,43," $37,214.00 ",Yes,<High School,3,1,Highly Urban/ Urban, $-   ,#REF!
22,48," $96,274.00 ",Yes,Masters,5,14,Highly Urban/ Urban," $8,250.00 ",#REF!
23,47," $46,281.00 ",No,<High School,1,5,Highly Urban/ Urban, $-   ,#REF!
24,44, $-   ,Yes,High School,0,11,Highly Urban/ Urban," $3,338.00 ",#REF!
25,33," $79,606.00 ",Yes,Bachelors,2,15,Highly Rural/ Rural, $-   ,#REF!
26,32," $31,275.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
27,44," $45,488.00 ",Yes,Bachelors,0,12,Highly Urban/ Urban, $-   ,#REF!
28,35," $72,193.00 ",No,Bachelors,3,12,Highly Urban/ Urban, $-   ,#REF!
29,40," $14,663.00 ",Yes,Masters,4,12,Highly Rural/ Rural," $38,127.00 ",#REF!
30,49," $49,244.00 ",Yes,Bachelors,1,1,Highly Urban/ Urban, $-   ,#REF!
31,52," $51,278.00 ",Yes,Bachelors,1,10,Highly Urban/ Urban, $-   ,#REF!
32,41," $92,842.00 ",No,Masters,5,15,Highly Urban/ Urban," $1,431.00 ",#REF!
33,39," $35,081.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
34,56, $-   ,Yes,PhD,0,12,Highly Rural/ Rural, $-   ,#REF!
35,49," $115,044.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   ,#REF!
36,38," $37,754.00 ",Yes,High School,2,9,Highly Rural/ Rural, $-   ,#REF!
37,43," $145,353.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
38,63," $121,398.00 ",Yes,PhD,0,11,Highly Urban/ Urban, $-   ,#REF!
39,52, $-   ,No,High School,1,6,Highly Rural/ Rural, $-   ,#REF!
40,35," $14,508.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
41,43," $75,338.00 ",Yes,Bachelors,0,8,Highly Urban/ Urban, $-   ,#REF!
42,41," $32,774.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
43,40," $57,474.00 ",Yes,Bachelors,1,5,Highly Urban/ Urban, $-   ,#REF!
44,31," $26,520.00 ",Yes,Bachelors,2,5,Highly Urban/ Urban, $-   ,#REF!
45,47," $18,444.00 ",Yes,High School,5,5,Highly Urban/ Urban," $2,981.00 ",#REF!
